date,year,month,day,so2,nox,o3,pm2.5,pm10,co,aqi_pm25,aqi_pm10,aqi
08/08/2014,2014,8,8,3.770208333,21.65141667,33.335,0.122208333,0.0,0.19075,0.5092013875,0.0,0.5092013875
08/09/2014,2014,8,9,3.681916667,21.42029167,37.72220833,0.1215,4.17e-05,0.188416667,0.50625,3.861111111111111e-05,0.50625
08/10/2014,2014,8,10,4.067791667,18.62595833,39.35645833,0.122625,0.0,0.124875,0.5109375,0.0,0.5109375
08/11/2014,2014,8,11,3.551583333,18.21441667,36.54666667,0.121083333,0.0,0.230625,0.5045138875,0.0,0.5045138875
08/12/2014,2014,8,12,3.45575,20.73208333,30.56033333,0.122208333,0.0,0.2625,0.5092013875,0.0,0.5092013875
8/13/2014,2014,8,13,,18.02045833,39.71379167,0.121041667,4.17e-05,,0.5043402791666667,3.861111111111111e-05,0.5043402791666667
8/14/2014,2014,8,14,3.913125,21.7235,35.38233333,0.1205,4.17e-05,,0.5020833333333333,3.861111111111111e-05,0.5020833333333333
8/15/2014,2014,8,15,3.913291667,18.91429167,40.87058333,0.120791667,0.0,,0.5032986125000001,0.0,0.5032986125000001
8/16/2014,2014,8,16,5.342875,18.3995,39.120125,0.121416667,4.17e-05,0.155083333,0.5059027791666667,3.861111111111111e-05,0.5059027791666667
8/17/2014,2014,8,17,2.537333333,19.64895833,26.88558333,0.119666667,0.0,0.5985,0.49861111250000006,0.0,0.49861111250000006
8/18/2014,2014,8,18,3.632416667,14.68741667,29.93058333,0.12075,8.33e-05,,0.503125,7.712962962962963e-05,0.503125
8/19/2014,2014,8,19,3.915458333,13.20616667,35.63320833,0.119833333,0.0,,0.4993055541666667,0.0,0.4993055541666667
8/20/2014,2014,8,20,,13.40966667,38.44425,0.12375,4.17e-05,0.103166667,0.515625,3.861111111111111e-05,0.515625
8/21/2014,2014,8,21,3.617458333,16.18629167,35.72091667,0.120291667,0.0,0.123375,0.5012152791666667,0.0,0.5012152791666667
